@  id    name        volt      Eq            R         X         B             I_node            J_node           I_P          I_Q          J_P          J_Q          I_off        J_off        Ih          Pi_meas          Qi_meas          Pj_meas          Qj_meas           I_nd          J_nd         I_bs          J_bs         I_island     J_island     R*              X*              B*
// 序号  交流线路名  电压等级  等值线路标志  线路电阻  线路电抗  线路单端电纳  I端所在拓扑节点   J端所在拓扑节点  I端有功功率  I端无功功率  J端有功功率  J端无功功率  I端开断标志  J端开断标志  允许载流量  I端有功功率量测  I端无功功率量测  J端有功功率量测  J端无功功率量测   I端物理节点   J端物理节点  I端计算节点   J端计算节点  I端电气岛号  J端电气岛号  线路电阻标幺值  线路电抗标幺值  线路单端电纳标幺值
#  360  东北.金雁线  500  0  1.350000  18.285000  1.472150e-04  东北.雁水站.500.1640   东北.金家站.500.992    -68.518    -39.339     68.540    -42.652  0  0   2000.000    -73.10    -40.21     61.92    -39.59  31704  30646  1640  992  0  0  0.000490  0.006634  0.405761
#  361  辽宁.开业线  220  0  1.910000  10.490000  6.005500e-05  辽宁.业民站.220.1649   辽宁.开原站.220.1034    -67.114     12.782     67.282    -18.371  0  0   1220.000    -62.87     11.33     62.99    -17.53  31671  30736  1649  1034  0  0  0.003611  0.019830  0.031769
#  362  东北.康蒲一线  500  0  2.420000  28.700001  2.293365e-04  东北.蒲河站.500.1268   辽宁.康平厂.500.1041   -791.952     -4.193    797.384    -60.803  0  0   1500.000   -792.79      0.00    798.30    -61.20  31047  30730  1268  1041  0  0  0.000878  0.010413  0.632109
#  363  东北.科沙一线  500  0  3.930000  54.149998  6.892300e-04  东北.沙岭站.500.1346   东北.科尔沁站.500.81   -425.574     -9.727    428.144    -35.865  0  0   4200.000   -428.97      0.00    431.01    -33.09  31228  29087  1346  81  0  0  0.001426  0.019646  1.899690
#  364  东北.科沙二线  500  0  3.980000  54.070000  6.861000e-04  东北.沙岭站.500.1346   东北.科尔沁站.500.81   -426.140     -8.375    428.750    -35.421  0  0   4200.000   -434.88      7.30    433.14    -44.17  31231  29093  1346  81  0  0  0.001444  0.019617  1.891063
#  365  辽宁.孔东线  220  0  0.761000  4.256000  1.538150e-05  辽宁.丹东站.220.702   辽宁.孔家沟站.220.1048    -50.555     -9.090     50.594      7.717  0  0    845.000    -50.48     -7.39     50.51      6.34  30183  30723  702  1048  0  0  0.001439  0.008045  0.008137
#  366  辽宁.宽草线  220  0  7.093900  42.330006  1.381950e-04  辽宁.草河口站.220.648   辽宁.宽甸站.220.1051    -17.812     -7.300     17.855     -6.993  0  0    865.000    -18.34     -6.76     18.33     -7.72  30114  30698  648  1051  0  0  0.013410  0.080019  0.073105
#  367  辽宁.宽凤线  220  0  6.483000  37.980000  1.419950e-04  辽宁.凤城站.220.770   辽宁.宽甸站.220.1051      2.559    -18.387     -2.543      3.608  0  0    800.000      1.61    -17.16     -1.61      3.54  30310  30697  770  1051  0  0  0.012255  0.071796  0.075115
#  368  辽宁.兰岔线  220  0  0.901000  4.932000  2.851000e-05  辽宁.岔山站.220.622   辽宁.普兰店站.220.1274    -84.117      4.357     84.243     -6.559  0  0   1400.000    -86.17      4.10     86.17     -3.17  30136  31057  622  1274  0  0  0.001703  0.009323  0.015082
#  369  辽宁.浪东一线  220  0  0.530000  3.350000  2.213000e-05  辽宁.浪头站.220.1066   辽宁.丹东站.220.702      6.846      5.064     -6.845     -7.344  0  0   1400.000      6.74      3.75     -6.11     -5.79  30877  30187  1066  702  0  0  0.001002  0.006333  0.011707
#  370  辽宁.浪东二线  220  0  0.607000  3.380000  2.141000e-05  辽宁.浪头站.220.1066   辽宁.丹东站.220.702      6.887      4.883     -6.886     -7.088  0  0   1400.000      6.81      4.16     -6.11     -6.11  30875  30188  1066  702  0  0  0.001147  0.006389  0.011326
#  371  辽宁.兰耿线  220  0  1.186100  7.131000  2.840130e-05  辽宁.耿家站.220.854   辽宁.兰家站.220.1063    -47.918    -17.960     47.977     15.351  0  0   1600.000    -46.32    -18.01     46.44     14.83  30400  32044  854  1063  0  0  0.002242  0.013480  0.015024
#  372  辽宁.兰首线  220  0  0.367000  3.280000  1.896500e-05  辽宁.首山站.220.1378   辽宁.兰家站.220.1063     88.018      9.038    -87.963    -10.535  0  0   1690.000     85.35      7.24    -85.42     -8.77  31259  30804  1378  1063  0  0  0.000694  0.006200  0.010032
#  373  辽宁.蓝熊线  220  0  0.630000  4.000200  2.891500e-05  辽宁.蓝东站.220.1061   辽宁.熊岳站.220.1608     51.070     31.610    -51.027    -34.426  0  0   1400.000     51.30     33.53    -51.74    -35.38  30766  31617  1061  1608  0  0  0.001191  0.007562  0.015296
#  374  东北.辽鞍一线  500  0  0.512500  5.960000  4.678600e-05  东北.鞍山站.500.529   东北.辽阳站.500.1084    316.028   -122.361   -315.818     99.305  0  0   2800.000    310.69   -123.06   -309.44    101.65  29996  30905  529  1084  0  0  0.000186  0.002162  0.128954
#  375  东北.辽鞍二线  500  0  0.420000  5.850000  4.742960e-05  东北.鞍山站.500.529   东北.辽阳站.500.1084    323.875   -120.164   -323.695     96.809  0  0   3200.000    322.88   -110.88   -323.80     85.72  29993  30906  529  1084  0  0  0.000152  0.002122  0.130728
#  376  辽宁.辽城线  220  0  0.650000  4.168520  2.435000e-05  辽宁.城昂站.220.651   东北.辽阳站.220.1085    -16.381    -10.410     16.385      7.913  0  0   1400.000    -23.11    -10.22     23.00     12.26  30102  30887  651  1085  0  0  0.001229  0.007880  0.012881
#  377  辽宁.辽工线  220  0  1.630000  9.538401  5.588000e-05  辽宁.工农站.220.860   辽宁.能港厂.220.1233     -1.922    -13.920      1.927      8.222  0  0    800.000      1.88    -13.71     -1.88      8.17  30435  30989  860  1233  0  0  0.003081  0.018031  0.029561
#  378  辽宁.辽林一线  220  0  0.475800  3.280000  1.532500e-05  辽宁.柳林站.220.1143   辽宁.辽电厂.220.1077     54.319     30.685    -54.283    -32.021  0  0    800.000     53.61     33.01    -53.01    -29.49  30836  30771  1143  1077  0  0  0.000899  0.006200  0.008107
#  379  辽宁.辽林二线  220  0  0.686000  3.880000  1.522900e-05  辽宁.柳林站.220.1143   辽宁.辽电厂.220.1077     46.489     24.264    -46.452    -25.630  0  0    800.000     45.73     24.15    -45.58    -27.43  30835  30772  1143  1077  0  0  0.001297  0.007335  0.008056
#  380  辽宁.辽林三线  220  0  0.136000  2.520000  1.695500e-05  辽宁.柳林站.220.1143   辽宁.辽电厂.220.1076   -255.493   -109.429    255.695    111.406  0  0   1600.000   -255.67   -110.44    255.62    116.79  30834  30768  1143  1076  0  0  0.000257  0.004764  0.008969
#  381  辽宁.辽刘一线  220  0  0.519300  3.232000  1.930000e-05  辽宁.刘二堡站.220.1130   东北.辽阳站.220.1085    -17.769     -8.579     17.773      6.600  0  0   1420.000    -16.35     -8.48     17.24      6.37  30773  30885  1130  1085  0  0  0.000982  0.006110  0.010210
#  382  辽宁.辽刘二线  220  0  0.517100  3.253000  1.930000e-05  辽宁.刘二堡站.220.1130   东北.辽阳站.220.1085    -17.647     -8.561     17.650      6.583  0  0   1420.000    -15.00     -9.09     15.78      6.66  30774  30886  1130  1085  0  0  0.000978  0.006149  0.010210
#  383  辽宁.辽前一线  220  0  0.324400  2.112000  1.257570e-05  东北.辽阳站.220.1085   辽宁.前杠站.220.1289     63.314     18.843    -63.286    -19.968  0  0   1400.000     60.52     21.02    -60.49    -20.37  30888  31106  1085  1289  0  0  0.000613  0.003992  0.006653
#  384  辽宁.辽前二线  220  0  0.325300  2.090000  1.273500e-05  东北.辽阳站.220.1085   辽宁.前杠站.220.1289     64.000     18.905    -63.972    -20.045  0  0   1400.000     60.52     21.74    -60.50    -20.90  30889  31104  1085  1289  0  0  0.000615  0.003951  0.006737
#  385  东北.辽沙一线  500  0  1.430000  17.500000  1.394150e-04  东北.辽阳站.500.1084   东北.沙岭站.500.1346   -257.303   -164.493    257.733     92.882  0  0   3200.000   -260.82   -155.62    258.40     75.79  30910  31230  1084  1346  0  0  0.000519  0.006349  0.384263
#  386  东北.辽沙二线  500  0  1.730000  17.760000  1.350200e-04  东北.辽阳站.500.1084   东北.沙岭站.500.1346   -255.089   -157.311    255.593     88.032  0  0   3200.000   -260.44   -158.64    251.52     77.51  30908  31233  1084  1346  0  0  0.000628  0.006444  0.372149
#  387  辽宁.辽首甲线  220  0  0.279000  2.000000  1.326000e-05  东北.辽阳站.220.4130   辽宁.首山站.220.1378    131.299     32.071   -131.202    -32.769  0  0   1690.000    130.61     33.44   -129.67    -33.22  30893  31264  4130  1378  0  0  0.000527  0.003781  0.007015
#  388  辽宁.辽首乙线  220  0  0.279000  2.000000  1.326000e-05  东北.辽阳站.220.4130   辽宁.首山站.220.1378    131.299     32.071   -131.202    -32.769  0  0   1690.000    131.12     31.66   -130.91    -32.73  30894  31263  4130  1378  0  0  0.000527  0.003781  0.007015
#  389  辽宁.辽水一线  220  0  1.650000  8.840000  5.661500e-05  东北.辽阳站.220.4130   辽宁.迎水寺站.220.1675     31.197     -2.524    -31.166     -3.269  0  0   1220.000     27.30     -4.70    -27.30     -2.84  30900  31708  4130  1675  0  0  0.003119  0.016711  0.029949
#  390  辽宁.辽水二线  220  0  1.640000  8.760000  5.484000e-05  东北.辽阳站.220.4130   辽宁.迎水寺站.220.1675     31.479     -2.444    -31.448     -3.161  0  0   1220.000     27.19     -2.94    -27.19     -1.18  30901  31709  4130  1675  0  0  0.003100  0.016560  0.029010
#  391  辽宁.辽铁甲线  220  0  0.796900  5.110000  1.747500e-05  东北.辽阳站.220.4130   辽宁.铁西站.220.1488     37.082      2.640    -37.061     -4.344  0  0    845.000     37.84      1.97    -36.58     -3.54  30895  31383  4130  1488  0  0  0.001506  0.009660  0.009244
#  392  辽宁.辽铁乙线  220  0  0.820000  3.870000  1.695500e-05  东北.辽阳站.220.4130   辽宁.铁西站.220.1488     48.659      1.134    -48.622     -2.744  0  0   1220.000     48.08      1.88    -47.90     -3.86  30898  31384  4130  1488  0  0  0.001550  0.007316  0.008969
#  393  辽宁.辽佟一线  220  0  1.024600  6.880000  4.597500e-05  东北.辽阳站.220.4130   辽宁.佟二堡站.220.1491    -52.038    -31.109     52.106     26.705  0  0   1690.000    -52.43    -28.37     51.98     23.58  30896  31332  4130  1491  0  0  0.001937  0.013006  0.024321
#  394  辽宁.辽佟二线  220  0  0.960000  6.990000  4.630000e-05  辽宁.佟二堡站.220.1491   东北.辽阳站.220.4130     51.040     26.857    -50.978    -31.301  0  0   1690.000     50.37     26.79    -51.12    -31.62  31331  30890  1491  4130  0  0  0.001815  0.013214  0.024493
#  395  辽宁.辽樱一线  220  0  0.644000  3.220000  1.925500e-05  东北.辽阳站.220.1085   辽宁.樱桃园站.220.1678    120.582     22.051   -120.395    -23.108  0  0   1220.000    119.88     23.91   -119.87    -24.12  30891  31721  1085  1678  0  0  0.001217  0.006087  0.010186
#  396  辽宁.辽樱二线  220  0  0.657000  3.320000  1.930000e-05  东北.辽阳站.220.1085   辽宁.樱桃园站.220.1678    116.951     21.600   -116.772    -22.690  0  0   1220.000    117.85     23.43   -117.84    -23.80  30892  31722  1085  1678  0  0  0.001242  0.006276  0.010210
#  397  辽宁.辽元一线  220  0  1.210000  6.381000  2.044140e-05  辽宁.辽电厂.220.1077   辽宁.元龙站.220.1691     44.112     23.900    -44.052    -25.682  0  0   1600.000     42.49     23.10    -42.38    -24.15  30769  31662  1077  1691  0  0  0.002287  0.012062  0.010813
#  398  辽宁.辽元二线  220  0  0.863900  4.870000  2.810300e-05  辽宁.辽电厂.220.1077   辽宁.元龙站.220.1691     57.532     32.001    -57.458    -34.471  0  0   1400.000     56.10  ''    -56.46    -34.50  30770  31663  1077  1691  0  0  0.001633  0.009206  0.014866
#  399  辽宁.李工线  220  0  0.460000  2.412300  2.000000e-06  辽宁.工农站.220.860   辽宁.李石寨站.220.1069    -89.743    -22.718     89.820     22.918  0  0    800.000    -94.62    -23.12     93.09     22.12  30434  30850  860  1069  0  0  0.000870  0.004560  0.001058
#  400  辽宁.林北二线  220  0  1.356200  7.980000  2.485000e-05  辽宁.河北站.220.890   辽宁.柳林站.220.1143    -27.232    -24.005     27.265     21.635  0  0    800.000    -28.37    -25.13     28.33     22.51  30464  30832  890  1143  0  0  0.002564  0.015085  0.013146
#  401  辽宁.岭东线  220  0  3.280000  18.760000  1.027600e-04  辽宁.岭南站.220.1099   辽宁.东辛庄站.220.756    -23.849    -13.829     23.888      3.093  0  0   1220.000    -25.85    -11.79     25.72      3.35  30841  30297  1099  756  0  0  0.006200  0.035463  0.054360
#  402  辽宁.凌曙线  220  0  2.862000  15.780000  9.542501e-05  辽宁.凌河站.220.1096   辽宁.曙光站.220.1381    -25.160     35.402     25.280    -44.976  0  0   1220.000    -28.52     34.58     32.05    -44.09  30789  31168  1096  1381  0  0  0.005410  0.029830  0.050480
#  403  辽宁.凌向一线  220  0  0.276300  1.895900  1.166500e-05  辽宁.凌河站.220.1096   辽宁.向阳站.220.1571     57.094     -0.615    -57.078     -0.536  0  0   1220.000     57.02      0.69    -60.72     -0.60  30790  31622  1096  1571  0  0  0.000522  0.003584  0.006171
#  404  辽宁.凌向二线  220  0  0.302500  1.937000  1.138250e-05  辽宁.凌河站.220.1096   辽宁.向阳站.220.1571     55.794     -1.169    -55.777      0.046  0  0   1220.000     56.65     -3.01    -59.20      2.68  30788  31623  1096  1571  0  0  0.000572  0.003662  0.006021
#  405  辽宁.李顺一线  220  0  0.260000  1.950000  1.375500e-05  辽宁.顺阳站.220.1404   辽宁.李石寨站.220.1069     51.826      0.868    -51.812     -2.177  0  0   1600.000     54.66      1.37    -50.21     -0.95  31297  30846  1404  1069  0  0  0.000491  0.003686  0.007276
#  406  辽宁.李顺二线  220  0  0.230000  1.980000  1.375500e-05  辽宁.顺阳站.220.1404   辽宁.李石寨站.220.1069     51.115      1.712    -51.103     -3.022  0  0   1600.000     53.59      2.41    -53.38     -1.00  31298  30855  1404  1069  0  0  0.000435  0.003743  0.007276
#  407  辽宁.柳左一线  220  0  3.356200  20.396000  1.275154e-04  辽宁.柳城站.220.1123   辽宁.喀左站.220.1027     78.521     -1.314    -78.141    -10.229  0  0   1420.000     75.02     -6.07    -74.30     -5.00  30760  30744  1123  1027  0  0  0.006344  0.038556  0.067456
#  408  辽宁.柳左二线  220  0  3.302500  20.313997  1.279079e-04  辽宁.柳城站.220.1123   辽宁.喀左站.220.1027     78.852     -1.159    -78.475    -10.416  0  0   1420.000     75.02     -1.79    -75.01    -10.36  30761  30743  1123  1027  0  0  0.006243  0.038401  0.067663
#  409  辽宁.陆南甲线  220  0  0.119000  0.779500  3.323750e-05  东北.南关岭站.220.1216   辽宁.陆港站.220.1183      0.000      0.000      0.000      0.000  1  1   1400.000     -4.00      0.00      0.00      0.00  30961  30779  1216  1183  0  0  0.000225  0.001474  0.017583
#  410  辽宁.陆南乙线  220  0  0.107300  0.744200  3.357350e-05  东北.南关岭站.220.1216   辽宁.陆港站.220.1183      0.000      0.000      0.000      0.000  1  1   1400.000      3.00      0.00      0.00      0.00  30957  30780  1216  1183  0  0  0.000203  0.001407  0.017760
#  411  辽宁.洛镁一线  220  0  1.295000  7.539999  5.181000e-05  辽宁.镁都站.220.1205   辽宁.博洛铺站.220.612    -21.416     -7.062     21.428      1.755  0  0   1380.000    -20.09     -6.03     20.24      1.87  30932  30041  1205  612  0  0  0.002448  0.014253  0.027407
#  412  辽宁.洛镁二线  220  0  1.350000  7.476000  5.182500e-05  辽宁.镁都站.220.1205   辽宁.博洛铺站.220.612    -21.604     -6.909     21.616      1.601  0  0   1380.000    -20.90     -6.03     19.80      1.76  30933  30040  1205  612  0  0  0.002552  0.014132  0.027415
#  413  辽宁.马昌线  220  0  1.766000  9.199000  5.322300e-05  辽宁.马道岭站.220.1202   辽宁.建昌站.220.982    -50.959      9.982     51.049    -15.247  0  0   1220.000    -54.24      8.04     54.24    -15.08  30940  30619  1202  982  0  0  0.003338  0.017389  0.028155
#  414  辽宁.马宏甲线  220  0  1.200000  8.960000  5.688000e-05  辽宁.宏亮站.220.910   辽宁.马场站.220.1193    -18.465     -2.538     18.473     -3.201  0  0   1600.000    -13.61     -0.45     13.63     -3.54  30514  30926  910  1193  0  0  0.002268  0.016938  0.030090
#  415  辽宁.马宏乙线  220  0  1.180000  8.929999  5.725000e-05  辽宁.宏亮站.220.910   辽宁.马场站.220.1193    -18.532     -2.588     18.540     -3.188  0  0   1600.000    -13.62      0.00     13.64     -3.84  30515  30927  910  1193  0  0  0.002231  0.016881  0.030285
#  416  辽宁.镁蟠线  220  0  1.796000  10.830001  6.499800e-05  辽宁.镁都站.220.1205   辽宁.蟠龙站.220.1259    -50.905    -11.569     50.997      5.364  0  0   1380.000    -52.23    -11.90     52.23      5.67  30930  31065  1205  1259  0  0  0.003395  0.020473  0.034384
#  417  东北.穆鞍一线  500  0  0.380000  4.837500  4.198001e-05  东北.穆家换流站.500.245   东北.鞍山站.500.529   1007.136    -42.872  -1005.720     38.038  0  0   4500.000   1007.06    -27.59  -1006.40     17.06  29378  29994  245  529  0  0  0.000138  0.001755  0.115707
#  418  东北.穆鞍二线  500  0  0.310000  4.844999  4.195000e-05  东北.穆家换流站.500.245   东北.鞍山站.500.529   1006.966    -28.254  -1005.812     23.445  0  0   4500.000   1007.17    -22.71  -1008.84     12.18  29379  29995  245  529  0  0  0.000112  0.001758  0.115625
#  419  辽宁.南港一线  220  0  1.541800  7.769000  5.449500e-05  辽宁.南山站.220.1230   辽宁.港湾站.220.820     57.850      0.742    -57.754     -6.136  0  0   1220.000     59.22      0.00    -60.01     -5.54  31002  30396  1230  820  0  0  0.002915  0.014686  0.028828
#  420  辽宁.南港二线  220  0  1.760000  9.111000  5.449500e-05  辽宁.南山站.220.1230   辽宁.港湾站.220.820     49.361      0.453    -49.282     -5.917  0  0   1220.000     51.85      0.00    -50.01     -5.54  31001  30397  1230  820  0  0  0.003327  0.017223  0.028828
#  421  辽宁.南钢线  220  0  0.484000  3.388000  1.978200e-05  东北.南关岭站.220.1216   辽宁.大石化站.220.682     81.367     30.893    -81.296    -32.459  0  0   1400.000     79.21     27.94    -79.47    -31.31  30959  30271  1216  682  0  0  0.000915  0.006405  0.010465
#  422  辽宁.南河线  220  0  0.724000  3.980000  1.479000e-05  辽宁.南山站.220.1230   辽宁.女儿河站.220.1256      4.373     23.830     -4.365    -25.379  0  0   1220.000      2.81     21.97     -5.06    -25.05  31003  30945  1230  1256  0  0  0.001369  0.007524  0.007824
#  423  辽宁.南化线  220  0  0.484000  3.388000  2.025300e-05  东北.南关岭站.220.1216   辽宁.大石化站.220.682     81.367     30.868    -81.296    -32.483  0  0   1400.000     82.17     29.30    -82.23    -32.55  30958  30270  1216  682  0  0  0.000915  0.006405  0.010714
#  424  辽宁.南连线  220  0  0.570000  3.522000  9.451500e-05  辽宁.大连站.220.667   东北.南关岭站.220.1216    -20.026     -7.446     20.031     -2.400  0  0   1400.000    -20.58     -7.72     20.15     -9.30  30250  30962  667  1216  0  0  0.001078  0.006658  0.049998
#  425  辽宁.南前线  220  0  1.150000  7.230000  4.500500e-05  东北.南关岭站.220.1216   辽宁.前牧站.220.1292    117.882    -47.440   -117.532     44.923  0  0   1400.000    118.91    -51.67   -118.55     49.34  30966  31126  1216  1292  0  0  0.002174  0.013667  0.023808
#  426  辽宁.南水线  220  0  1.650000  9.910000  6.137500e-05  东北.南关岭站.220.1216   辽宁.凌水站.220.1102     85.553    -48.782    -85.257     44.111  0  0   1400.000     83.00    -51.77    -83.00     47.11  30964  30869  1216  1102  0  0  0.003119  0.018733  0.032467
#  427  辽宁.南湾线  220  0  0.654700  3.861700  1.890500e-04  东北.南关岭站.220.1216   辽宁.海湾站.220.880     23.307      7.029    -23.297    -26.694  0  0   1400.000     22.67     13.42    -22.83    -23.79  30960  30583  1216  880  0  0  0.001238  0.007300  0.100007
#  428  辽宁.南卧线  220  0  2.090000  10.952000  6.598500e-05  辽宁.南芬站.220.1208   辽宁.卧龙站.220.1546     47.599     12.230    -47.499    -18.595  0  0   1220.000     44.72      9.42    -44.67    -15.26  30949  31470  1208  1546  0  0  0.003951  0.020703  0.034906
#  429  辽宁.南吴甲线  220  0  1.025400  5.134600  1.972000e-05  东北.南关岭站.220.1216   辽宁.吴屯站.220.4158    -60.332     14.555     60.408    -16.234  0  0    800.000    -60.26     13.48     60.28    -19.13  30955  31513  1216  4158  0  0  0.001938  0.009706  0.010432
#  430  辽宁.南吴乙线  220  0  0.900000  4.700000  2.843450e-05  东北.南关岭站.220.1216   辽宁.吴屯站.220.4158    -66.146     15.044     66.226    -17.597  0  0    800.000    -60.61     13.93     60.44    -18.81  30956  31509  1216  4158  0  0  0.001701  0.008885  0.015042
#  431  东北.南雁线  500  0  0.927500  10.100000  4.903000e-05  东北.南关岭站.500.1215   东北.雁水站.500.1640    264.868      0.143   -264.635    -25.047  0  0   1500.000    260.43    -10.97   -259.52    -34.72  30971  31705  1215  1640  0  0  0.000337  0.003664  0.135139
#  432  辽宁.宁东一线  220  0  3.970000  23.320000  1.375950e-04  辽宁.东梁站.220.744   东北.北宁站.220.562     83.955    -11.338    -83.438     -0.510  0  0   1200.000     84.04    -12.86    -82.41     -1.64  30253  30056  744  562  0  0  0.007505  0.044083  0.072788
#  433  辽宁.宁东二线  220  0  3.560000  20.660000  1.180000e-04  辽宁.东梁站.220.744   东北.北宁站.220.562     94.722    -10.961    -94.133      1.622  0  0   1200.000     96.47    -11.58    -95.64      1.17  30254  30046  744  562  0  0  0.006730  0.039055  0.062422
#  434  辽宁.宁奎线  220  0  4.496000  25.813002  8.570999e-05  辽宁.奎德素站.220.1054   东北.宁城新站.220.467      0.000     -0.000      0.000     -9.139  1  0    800.000      0.00      0.00      0.00     -8.84  30701  29830  1054  467  0  0  0.008499  0.048796  0.045341
#  435  辽宁.宁胜一线  220  0  0.231800  1.510000  1.089500e-05  辽宁.宁官站.220.1236   辽宁.东胜站.220.753    -10.164     -0.216     10.164     -0.915  0  0   1600.000     -9.16      0.00      8.57     -2.61  30978  30285  1236  753  0  0  0.000438  0.002854  0.005763
#  436  辽宁.宁胜二线  220  0  0.211000  1.530000  1.107000e-05  辽宁.宁官站.220.1236   辽宁.东胜站.220.753    -10.057     -0.382     10.058     -0.766  0  0   1730.000     -9.16      0.00      8.02     -3.54  30979  30284  1236  753  0  0  0.000399  0.002892  0.005856
#  437  辽宁.宁铁线  220  0  0.850000  5.338000  2.119500e-05  辽宁.王铁站.220.1531   辽宁.宁远屯站.220.1243    -12.739     -3.767     12.742      1.596  0  0   1600.000    -10.39     -0.74     10.38      0.00  31518  31009  1531  1243  0  0  0.001607  0.010091  0.011212
#  438  辽宁.宁文线  220  0  0.980000  6.060000  3.517000e-05  辽宁.宁官站.220.1236   辽宁.文成站.220.1540     33.817    -32.845    -33.778     29.421  0  0   1220.000     31.26    -35.06    -31.48     32.15  30976  31416  1236  1540  0  0  0.001853  0.011456  0.018605
#  439  辽宁.牛海线  220  0  1.102500  6.310400  2.174500e-05  辽宁.海城站.220.868   辽宁.牛庄站.220.1253     57.652     25.486    -57.568    -27.297  0  0   1600.000     58.76     24.45    -58.78    -27.33  30478  31016  868  1253  0  0  0.002084  0.011929  0.011503
#  440  辽宁.牛虎线  220  0  3.770000  19.519999  1.296650e-04  辽宁.虎石台站.220.941   辽宁.牛岗站.220.1246     -4.095    -23.030      4.116      9.459  0  0   1220.000     -2.50    -20.55      3.91      8.34  30551  30985  941  1246  0  0  0.007127  0.036900  0.068593
#  441  辽宁.牛铁线  220  0  0.580000  3.460000  1.972000e-05  辽宁.牛岗站.220.1246   辽宁.铁岭站.220.1473    -65.710     -3.368     65.757      1.555  0  0   1220.000    -66.74     -3.33     65.88      0.00  30986  31350  1246  1473  0  0  0.001096  0.006541  0.010432
#  442  辽宁.盘兴线  220  0  1.083600  6.542900  1.994000e-05  辽宁.盘山站.220.1262   辽宁.兴隆台站.220.1605    -42.120      7.857     42.158     -9.751  0  0   1220.000    -42.87      5.09     43.20     -7.15  1121  31585  1262  1605  0  0  0.002048  0.012368  0.010548
#  443  辽宁.平高一线  220  0  2.520000  13.910000  8.021000e-05  辽宁.平安站.220.1265   辽宁.高台山站.220.844      0.000      0.000      0.000      0.000  1  1   1220.000      0.00      0.00      4.00      0.00  31021  30446  1265  844  0  0  0.004764  0.026295  0.042431
#  444  辽宁.平左线  220  0  2.135700  12.505000  7.532860e-05  辽宁.建平站.220.985   辽宁.喀左站.220.1027    -18.336      2.931     18.352    -10.981  0  0   1420.000    -17.50      1.43     16.43    -10.00  30657  30746  985  1027  0  0  0.004037  0.023639  0.039849
#  445  东北.蒲丹线  500  0  1.225000  12.770000  9.976000e-05  东北.蒲石河水厂.500.1281   东北.丹东北站.500.696     -0.007      0.117      0.010    -56.260  0  0   2800.000      0.00      0.00      1.26    -69.49  31076  30205  1281  696  0  0  0.000444  0.004633  0.274963
#  446  辽宁.蒲东一线  220  0  0.680000  5.480000  2.268650e-04  辽宁.东窑站.220.757   东北.蒲河站.220.1269    -60.387    -15.946     60.435     -7.584  0  0   1500.000    -61.30    -18.42     61.86     -4.69  30300  31035  757  1269  0  0  0.001285  0.010359  0.120012
#  447  辽宁.蒲东二线  220  0  0.670000  5.384000  2.306801e-04  辽宁.东窑站.220.757   东北.蒲河站.220.1269    -61.463    -16.197     61.511     -7.729  0  0   1500.000    -60.30    -15.07     60.07     -9.60  30301  31039  757  1269  0  0  0.001267  0.010178  0.122030
#  448  辽宁.蒲法一线  220  0  2.300000  20.400000  1.313700e-04  东北.蒲河站.220.1269   辽宁.法库站.220.760    -11.351    -22.248     11.367      8.436  0  0   1220.000    -15.63    -20.10     12.51      6.03  31031  30338  1269  760  0  0  0.004348  0.038563  0.069495
#  449  辽宁.蒲法二线  220  0  2.338700  20.400000  1.313500e-04  东北.蒲河站.220.1269   辽宁.法库站.220.760    -11.378    -22.223     11.394      8.413  0  0   1220.000    -16.53    -19.21     13.18      8.29  31032  30339  1269  760  0  0  0.004421  0.038563  0.069484
#  450  辽宁.蒲繁一线  220  0  1.200000  8.679999  6.179500e-05  东北.蒲河站.220.1269   辽宁.繁荣站.220.767    130.382     26.929   -129.975    -30.453  0  0   1730.000    135.33     26.35   -129.80    -30.42  31041  30347  1269  767  0  0  0.002268  0.016408  0.032690
#  451  辽宁.蒲繁二线  220  0  1.230000  8.679999  6.185000e-05  东北.蒲河站.220.1269   辽宁.繁荣站.220.767    130.422     26.469   -130.005    -30.002  0  0   1730.000    133.77     25.46   -128.45    -29.02  31040  30348  1269  767  0  0  0.002325  0.016408  0.032719
#  452  辽宁.蒲韩二线  220  0  1.140000  10.259000  7.451000e-05  东北.蒲河站.220.1269   辽宁.韩屯站.220.887    -16.253     15.512     16.267    -23.223  0  0   1420.000    -18.31     11.39     17.34    -19.82  31036  30581  1269  887  0  0  0.002155  0.019393  0.039416
#  453  东北.蒲梨一线  500  0  3.820000  51.500000  4.144800e-04  东北.蒲河站.500.1268   东北.梨树站.500.2425   -185.094    -65.895    185.594     -7.828  0  0   3200.000   -188.81    -61.92    188.80      0.00  31043  33428  1268  2425  0  0  0.001386  0.018685  1.142410
#  454  东北.蒲梨二线  500  0  4.300000  55.119999  4.427400e-04  东北.蒲河站.500.1268   东北.梨树站.500.2425   -172.706    -76.514    173.197    -13.443  0  0   3200.000   -172.57    -71.56    172.05     -9.90  31045  33183  1268  2425  0  0  0.001560  0.019998  1.220302
#  455  辽宁.前城线  220  0  0.376000  2.662000  1.463240e-05  辽宁.城昂站.220.651   辽宁.前杠站.220.1289     24.606      0.544    -24.601     -2.029  0  0   1400.000     26.54     -1.26    -26.57      0.00  30101  31100  651  1289  0  0  0.000711  0.005032  0.007741
